URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/identifier-type-de-basis,1.5.4,active,,IdentifierTypeDeBasisVS,Identifier Type DeBasis ValueSet,"ValueSet zur Codierung des Identifier-Typs","StructureDefinition/GEM-ERPCHRG-PR-Consent","THO (V2),de.basisprofil.r4"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/GEM-ERPCHRG-PR-ChargeItem","SCT"
http://hl7.org/fhir/ValueSet/chargeitem-billingcodes,4.0.1,draft,"2.16.840.1.113883.4.642.3.848",ChargeItemCode,ChargeItemCode,"Example set of codes that can be used for billing purposes.","StructureDefinition/GEM-ERPCHRG-PR-ChargeItem","THO"
http://hl7.org/fhir/ValueSet/chargeitem-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.846",ChargeItemStatus,ChargeItemStatus,"Codes identifying the lifecycle stage of a ChargeItem.","StructureDefinition/GEM-ERPCHRG-PR-ChargeItem","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","SCT"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-PAR-Patch-ChargeItem-Input,StructureDefinition/GEM-ERPCHRG-PR-Consent,StructureDefinition/GEM-ERPCHRG-PR-ChargeItem,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","THO"
http://hl7.org/fhir/ValueSet/communication-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.172",CommunicationCategory,CommunicationCategory,"Codes for general categories of communications such as alerts, instructions, etc.","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","THO"
http://hl7.org/fhir/ValueSet/communication-not-done-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.174",CommunicationNotDoneReason,CommunicationNotDoneReason,"Codes for the reason why a communication did not happen.","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","THO"
http://hl7.org/fhir/ValueSet/communication-topic,4.0.1,draft,"2.16.840.1.113883.4.642.3.983",CommunicationTopic,CommunicationTopic,"Codes describing the purpose or content of the communication.","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","THO"
http://hl7.org/fhir/ValueSet/consent-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.753",ConsentActionCodes,Consent Action Codes,"This value set includes sample Consent Action codes.","StructureDefinition/GEM-ERPCHRG-PR-Consent","THO"
http://hl7.org/fhir/ValueSet/consent-content-class,4.0.1,draft,"2.16.840.1.113883.4.642.3.747",ConsentContentClass,Consent Content Class,"This value set includes the FHIR resource types, along with some other important content class codes","StructureDefinition/GEM-ERPCHRG-PR-Consent","hl7.fhir.r4.core,Other"
