Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.eflow-rx.json	56083	-	0	0	0	0	0	0	21	165	0	0	0	0	0	0	0	1	0	0	193	251	0	0	0	10	0	1
fsh-generated/resources/AuditEvent-9361863d-fec0-4ba9-8776-6905cf1a0cfa.json	1890	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-Bundle-AcceptOperation.json	3588	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-dffbfd6a-5712-4798-bdc8-07201eb77ab8.json	3627	16	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	23	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-erp-fachdienst-client.json	15141	11	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	30	48	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-erp-fachdienst-server.json	1682	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-AvailabilityStatus.json	1270	9	0	0	1	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	23	427	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-DocumentType.json	988	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	20	64	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-FlowType.json	1634	9	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	20	56	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-GEM-ERP-CS-OperationOutcomeDetails.json	1517	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	22	59	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-OrganizationType.json	992	9	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	20	50	0	0	0	0	0	0
fsh-generated/resources/Communication-7977a4ab-97a9-4d95-afb3-6c4c1e2ac596.json	1701	8	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	21	26	0	0	0	0	0	0
fsh-generated/resources/Communication-a218a36e-f2fd-4603-ba67-c827acfef01b.json	1660	9	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	23	24	0	0	0	0	0	0
fsh-generated/resources/Device-1.json	464	10	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0
fsh-generated/resources/Medication-ExampleUnitMedication.json	1047	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	518	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Kombipackung.json	4049	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	22	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Rezeptur-FD.json	4457	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	21	19	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Rezeptur.json	4024	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	21	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Without-Strength-Code.json	1037	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	21	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Without-Strength-Numerator.json	1657	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Medication-SimpleMedication.json	366	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	305	0	0	0	0	0	0
fsh-generated/resources/Medication-SumatripanMedication.json	1446	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-2.json	844	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	285	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-comb-dayofweek.json	1976	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	651	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-comb-interval.json	2378	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	778	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-interval.json	1807	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	538	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-tageszeit.json	2304	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	911	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-uhrzeit.json	1878	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	485	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-weekday.json	1912	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30	474	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Kombipackung.json	862	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	19	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Rezeptur.json	854	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Without-Medication.json	865	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	249	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense.json	846	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	251	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-AbortOperation.json	1216	8	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	24	17	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-AcceptOperation.json	1548	9	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	35	17	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-ActivateOperation.json	1344	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	33	15	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-CloseOperation.json	2103	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	36	17	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-CreateOperation.json	1299	8	0	0	1	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	21	17	0	1	0	0	0	0
fsh-generated/resources/OperationDefinition-DispenseOperation.json	1764	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	20	17	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-RejectOperation.json	939	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	19	15	0	0	0	0	0	0
