Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.erezept.eu.json	22081	-	0	0	0	0	0	0	16	194	0	0	0	0	0	0	0	1	0	0	141	153	0	0	0	8	0	1
fsh-generated/resources/Bundle-ExampleGetConsent.json	1766	6	8	0	0	0	0	0	1	861	0	0	0	0	0	0	0	0	0	0	23	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERPEU-CS-ConsentType.json	757	4	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	20	672	0	0	0	0	1	0
fsh-generated/resources/CodeSystem-GEM-ERPEU-CS-RequestType.json	929	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	23	61	0	0	0	1	0	0
fsh-generated/resources/Consent-f97a0772-c99f-4159-90c6-2a41c7d96779.json	1166	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	21	12	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Without-Strength-Code.json	1043	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Without-Strength-Numerator.json	1663	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0
fsh-generated/resources/Medication-SimpleMedication.json	372	7	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/Medication-SumatripanMedication.json	1452	4	0	0	0	0	0	0	1	201	0	0	0	0	0	0	0	0	0	0	22	18	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-EU.json	825	4	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	20	31	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-EUCloseOperation.json	3041	4	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	30	24	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-GET-Prescription-EU.json	2589	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	28	22	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-Grant-EU-Access-Permission.json	2057	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	26	12	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-Read-EU-Access-Permission.json	1510	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	23	12	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-Revoke-EU-Access-Permission.json	566	4	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0
fsh-generated/resources/Organization-Example-EU-Organization.json	795	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0
fsh-generated/resources/Parameters-Example-EU-PermissionRequest.json	566	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/Parameters-Example-EU-PermissionResponse.json	749	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/Parameters-Example-PATCH-Task-Single-Input-Request-False.json	343	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/Parameters-Example-PATCH-Task-Single-Input-Request-True.json	341	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Parameters-ExampleEUCloseInputParameters.json	7238	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	235	0	0	0	0	0	0
fsh-generated/resources/Parameters-ExampleEUGETPrescriptionDEMOGRAPHICS.json	1798	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	10	9	0	0	0	0	0	1
fsh-generated/resources/Parameters-ExampleEUGETPrescriptionE-PRESCRIPTIONS-LIST.json	1814	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Parameters-ExampleEUGETPrescriptionE-PRESCRIPTIONS-RETRIEVAL.json	2780	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
fsh-generated/resources/Practitioner-Example-EU-Practitioner.json	392	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-Example-EU-PractitionerRole.json	372	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-EX-MedicinalPackageDescription.json	1608	4	0	45	0	0	0	0	1	530	0	0	0	0	0	0	0	0	0	0	48	534	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-EX-MedicinalPackageIdentifier.json	1650	4	0	37	0	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	69	203	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-AccessCode.json	1957	4	0	28	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	79	230	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-Consent.json	2970	5	0	138	0	0	0	0	0	55	0	0	0	0	0	0	0	1	0	0	291	726	0	1	0	17	0	1
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-Medication.json	1497	3	0	198	0	0	0	0	0	63	0	0	0	0	0	0	0	2	0	0	478	1363	0	0	0	28	0	2
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-MedicationDispense.json	4766	4	0	184	0	0	0	0	0	47	0	0	0	0	0	0	0	1	0	0	362	752	0	0	0	18	0	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-Organization.json	3017	5	0	113	0	0	0	0	0	76	0	0	0	0	0	0	0	1	0	0	185	478	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-PAR-AccessAuthorization-Request.json	2732	4	0	58	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	136	280	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-PAR-AccessAuthorization-Response.json	4540	4	0	61	1	0	1	0	0	32	0	0	0	0	0	0	0	1	0	0	161	318	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-PAR-Close-Operation-Input.json	18303	8	0	238	0	0	0	0	0	91	0	0	1	0	0	0	0	1	0	0	542	1189	0	0	0	31	1	2
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-PAR-EU-GET-Prescription-Input.json	14561	6	0	91	0	0	0	0	0	73	0	0	0	0	0	0	0	1	0	0	426	653	0	0	0	24	0	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-PAR-PATCH-Task-Input.json	2139	3	0	25	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	78	170	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-Practitioner.json	1298	4	0	45	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	159	438	0	0	0	11	0	0
