old_req,title
A_19586,Anbieter E-Rezept-Fachdienst Speicherung Schlüsselmaterial in HSM
A_19412-05,Anbieter E-Rezept-Fachdienst - Schnittstellenadressierung Primärsysteme
A_21782-02,Anbieter E-Rezept-Fachdienst - Schnittstellenadressierung Internet
A_19695,E-Rezept-Fachdienst - Android Digital Asset Link
A_19985-03,Anbieter E-Rezept-Fachdienst - Registrierung beim IDP als Relying Party
A_20706-02,Anbieter E-Rezept-Fachdienst - Claims für ID_TOKEN für FdV
A_19986-01,Anbieter E-Rezept-Fachdienst - E-Rezept-Sessiondauer im IDP
A_20710-01,Anbieter E-Rezept-Fachdienst - E-Rezept-Lebensdauer ACCESS_TOKEN
A_19993-01,E-Rezept-Fachdienst - Prüfung eingehender ACCESS_TOKEN
A_19130,E-Rezept-Fachdienst - Authentifizierung erforderlich LEI-Endpunkt
A_19389,E-Rezept-Fachdienst - Authentifizierung erforderlich Vers-Endpunkt
A_19131,E-Rezept-Fachdienst - Authentifizierung ungültig
A_19390-01,E-Rezept-Fachdienst - Authentifizierung Nutzerrolle
A_19391-01,E-Rezept-Fachdienst - Authentifizierung Nutzername
A_19392-01,E-Rezept-Fachdienst - Authentifizierung Nutzerkennung
A_19439-04,E-Rezept-Fachdienst - Authentifizierung Authentifizierungsstärke
A_19992-01,E-Rezept-Fachdienst - Blocklisting zu häufig verwendeter ACCESS_TOKEN
A_20158-02,E-Rezept-Fachdienst - Prüfung Signaturzertifikat IDP
A_20974-01,E-Rezept-Fachdienst - Prüfungsintervall Signaturzertifikat E-Rezept-Fachdienst
A_20765-02,E-Rezept-Fachdienst - Prüfung Signaturzertifikat E-Rezept-Fachdienst
A_22221,Anbieter E-Rezept-Fachdienst - Erneuerung Signaturzertifikat
A_26577,E-Rezept-Fachdienst - Blocklisting unlauterer Clientsysteme an der Internet-Schnittstelle
A_26578,E-Rezept-Fachdienst - Blocklisting unlauterer Clientsysteme an der TI-Schnittstelle
A_21571,E-Rezept-Fachdienst - Routing-Informationen X-erp-resource
A_21572-01,E-Rezept-Fachdienst - Routing-Informationen X-erp-user
A_19260,E-Rezept-Fachdienst – Ausschluss unbekannter FdV-Versionsnummern von der Kommunikation
A_19261-01,E-Rezept-Fachdienst – Ausschluss von Client-Versionen
