"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"erp-tprescription-carbon-copy-logical","erp-tprescription-carbon-copy-logical","","","",0,*,"","","","null {[]} {[]}
","Logisches Modell digitaler Durchschlag E-T-Rezept","Logical Model zur Abbildung der im digitalen Durchschlag E-T-Rezept erforderlichen fachlichen Informationen.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"erp-tprescription-carbon-copy-logical.datumSignatur","erp-tprescription-carbon-copy-logical.datumSignatur","","","",1,1,"","","","instant {[]} {[]}
","Zeitpunkt der Signatur","Zeitpunkt der Signatur","Dieses Datum wird aus der QES Signatur 1.2.840.113549.1.9.5 signingTime herangezogen und muss in ein FHIR Instant Datenformat überführt werden.","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.datumSignatur",1,1,"",""
"erp-tprescription-carbon-copy-logical.rezeptID","erp-tprescription-carbon-copy-logical.rezeptID","","","",1,1,"","","","Identifier {[]} {[]}
","E-Rezept-ID","E-Rezept-ID","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rezeptID",1,1,"",""
"erp-tprescription-carbon-copy-logical.rxVerordnung","erp-tprescription-carbon-copy-logical.rxVerordnung","","","",1,1,"","","","BackboneElement {[]} {[]}
","Angaben zum verordneten Medikament","Angaben zum verordneten Medikament","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rxVerordnung",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"erp-tprescription-carbon-copy-logical.rxVerordnung.id","erp-tprescription-carbon-copy-logical.rxVerordnung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"erp-tprescription-carbon-copy-logical.rxVerordnung.extension","erp-tprescription-carbon-copy-logical.rxVerordnung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"erp-tprescription-carbon-copy-logical.rxVerordnung.modifierExtension","erp-tprescription-carbon-copy-logical.rxVerordnung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"erp-tprescription-carbon-copy-logical.rxVerordnung.bezeichnung","erp-tprescription-carbon-copy-logical.rxVerordnung.bezeichnung","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Bezeichnung Fertigarzneimittel/Wirkstoff ODER Rezeptur (verordnet). Je nach dem welcher Rezepttyp angewandt wurde liegt diese Angabe als Freitext oder strukturiert vor.","Bezeichnung Fertigarzneimittel/Wirkstoff ODER Rezeptur (verordnet). Je nach dem welcher Rezepttyp angewandt wurde liegt diese Angabe als Freitext oder strukturiert vor.","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rxVerordnung.bezeichnung",0,1,"",""
"erp-tprescription-carbon-copy-logical.rxVerordnung.wirkstaerke","erp-tprescription-carbon-copy-logical.rxVerordnung.wirkstaerke","","","",0,1,"","","","Ratio {[]} {[]}
","Wirkstärke (verordnetes Arzneimittel)","Wirkstärke (verordnetes Arzneimittel)","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rxVerordnung.wirkstaerke",0,1,"",""
"erp-tprescription-carbon-copy-logical.rxVerordnung.darreichungsform","erp-tprescription-carbon-copy-logical.rxVerordnung.darreichungsform","","","",0,1,"","","","Coding {[]} {[]}
","Darreichungsform (verordnetes Arzneimittel)","Darreichungsform (verordnetes Arzneimittel)","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rxVerordnung.darreichungsform",0,1,"",""
"erp-tprescription-carbon-copy-logical.rxVerordnung.menge","erp-tprescription-carbon-copy-logical.rxVerordnung.menge","","","",0,1,"","","","Ratio {[]} {[]}
","Menge (verordnetes Arzneimittel)","Menge (verordnetes Arzneimittel)","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rxVerordnung.menge",0,1,"",""
"erp-tprescription-carbon-copy-logical.rxVerordnung.dosierung","erp-tprescription-carbon-copy-logical.rxVerordnung.dosierung","","","",0,1,"","","","Dosage {[]} {[]}
","Dosierung (verordnetes Arzneimittel)","Dosierung (verordnetes Arzneimittel)","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rxVerordnung.dosierung",0,1,"",""
"erp-tprescription-carbon-copy-logical.rxVerordnung.reichdauer","erp-tprescription-carbon-copy-logical.rxVerordnung.reichdauer","","","",1,1,"","","","string {[]} {[]}
","Reichdauer (verordnetes Arzneimittel)","Reichdauer (verordnetes Arzneimittel)","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rxVerordnung.reichdauer",1,1,"",""
"erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen","erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen","","","",1,1,"","","","BackboneElement {[]} {[]}
","Bestätigungen des Arztes nach §3a Abs. 2, 5 AMVV","Bestätigungen des Arztes nach §3a Abs. 2, 5 AMVV","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen.id","erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen.extension","erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen.modifierExtension","erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen.bestaetigungSicherheitsmassnahmen","erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen.bestaetigungSicherheitsmassnahmen","","","",1,1,"","","","boolean {[]} {[]}
","Bestätigung Sicherheitsmaßnahmen (T-Rezept)","Bestätigung Sicherheitsmaßnahmen (T-Rezept)","","","","","","","","","",,,,,"",,,,"erp-tprescription-carbon-copy-logical.rxVerordnung.rxTRezeptBestaetigungen.bestaetigungSicherheitsmassnahmen",1,1,"",""
