Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.bfarm.json	15876	-	0	0	0	0	0	0	14	89	0	0	0	0	0	0	0	0	0	0	100	150	0	0	0	6	0	4
fsh-generated/resources/Bundle-VZD-SearchSet-Bundle.json	4842	4	16	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	14	25	0	0	0	0	0	0
fsh-generated/resources/Medication-ExampleMedication1-Pomalidomid-T.json	437	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
fsh-generated/resources/Medication-ExampleMedication2-Pomalidomid-T.json	437	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-ExampleMedicationDispense-T.json	721	1	0	0	0	0	0	0	0	993	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-ExampleMedicationRequest-T.json	1485	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	13	0	0	0	0	0	0
fsh-generated/resources/OperationOutcome-ERP-TPrescription-OperationOutcome-1.json	670	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/Organization-ExampleOrganization-T.json	558	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Parameters-TRP-Carbon-Copy.json	10403	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	36	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-erp-tprescription-carbon-copy-logical.json	13353	4	0	42	0	0	0	0	0	469	0	0	1	0	0	0	0	1	0	0	136	789	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-erp-tprescription-carbon-copy.json	14811	5	0	165	1	0	0	0	1	93	0	0	0	0	0	0	0	2	0	0	350	1302	0	0	0	20	0	5
fsh-generated/resources/StructureDefinition-erp-tprescription-medication-dispense.json	4235	3	0	33	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	157	230	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-erp-tprescription-medication-request.json	6195	2	0	137	0	0	0	0	0	92	0	0	1	0	0	0	0	2	0	0	506	1156	0	0	0	32	1	5
fsh-generated/resources/StructureDefinition-erp-tprescription-medication.json	3153	2	0	177	0	0	0	0	0	65	0	0	0	0	0	0	0	2	0	0	360	601	0	0	0	24	0	5
fsh-generated/resources/StructureDefinition-erp-tprescription-organization.json	2067	2	0	22	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	176	169	0	0	0	9	0	1
fsh-generated/resources/StructureMap-ERPTPrescriptionStructureMapCarbonCopy.json	30764	4	0	0	8	0	0	0	3	17	0	0	0	0	0	0	0	0	0	0	46	28	0	0	0	3	0	1
fsh-generated/resources/StructureMap-ERPTPrescriptionStructureMapGEMMedication.json	9540	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	1	0	0
fsh-generated/resources/StructureMap-ERPTPrescriptionStructureMapKBVCompoundingMedication.json	24816	6	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	38	15	0	0	0	2	0	0
fsh-generated/resources/StructureMap-ERPTPrescriptionStructureMapKBVFreeTextMedication.json	4741	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	1	0	0
fsh-generated/resources/StructureMap-ERPTPrescriptionStructureMapKBVIngredientMedication.json	12200	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	21	15	0	0	0	1	0	1
fsh-generated/resources/StructureMap-ERPTPrescriptionStructureMapKBVPZNMedication.json	15105	7	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	25	16	0	0	0	2	0	0
fsh-generated/resources/StructureMap-ERPTPrescriptionStructureMapMedication.json	7144	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	21	12	0	0	0	1	0	0
