Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.chargeitem.json	13823	-	0	0	0	0	0	0	15	78	0	0	0	0	0	0	0	0	0	0	97	120	0	0	0	5	0	1
fsh-generated/resources/Bundle-ExampleERPCHRGChargeItemSearchset.json	2847	6	13	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleERPCHRGCommunicationSearchset.json	1736	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleERPCHRGConsentSearchset.json	1885	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ti-flow-fachdienst-server-erpchrg.json	38424	12	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	44	83	0	0	0	2	0	0
fsh-generated/resources/ChargeItem-ChargeItem-GET-Completed.json	1995	3	0	0	0	0	0	0	1	490	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	0	0	0
fsh-generated/resources/ChargeItem-ChargeItem-POST-Binary.json	1386	3	0	0	0	0	0	0	0	753	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERPCHRG-CS-ConsentType.json	688	3	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	7	79	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tiflow-chargeitem-operation-outcome-details-cs.json	2308	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	13	60	0	0	0	1	0	0
fsh-generated/resources/Communication-3bbc2209-9c23-4553-986e-a5c9f69a39fb.json	926	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0
