Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.core.json	64054	-	0	0	0	0	0	0	24	84	0	0	0	0	0	0	0	1	0	0	212	268	0	0	0	10	0	2
fsh-generated/resources/AuditEvent-9361863d-fec0-4ba9-8776-7905cf1b0cfa.json	1912	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	1	0	0	0
fsh-generated/resources/Bundle-Bundle-AcceptOperation.json	3608	2	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleAcceptResponseBundle.json	3613	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-dffbfd6a-5712-4798-bdc8-07201eb77ab8.json	3661	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-searchset-auditevent.json	2763	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-searchset-communication.json	4661	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-searchset-consent.json	1433	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-searchset-medicationdispense.json	1509	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-searchset-task.json	5507	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-erp-fachdienst-server.json	254645	75	0	0	0	0	0	0	25	94	0	0	0	0	0	0	0	0	0	0	266	140	0	1	0	7	0	2
fsh-generated/resources/CapabilityStatement-example-capabilitystatement-server-pu.json	5413	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-example-capabilitystatement-server-ru.json	5413	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-example-capabilitystatement-server-tu.json	5412	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	14	8	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-AvailabilityStatus.json	1158	3	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	8	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-CapabilityStatement-Environment.json	1572	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	37	0	0	0	0	0	0
