Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.erezept.json	25395	-	0	0	0	0	0	0	19	77	0	0	0	0	0	0	0	1	0	0	134	173	0	0	0	8	0	2
fsh-generated/resources/Bundle-ExampleRxCommunicationSearchset.json	724	4	11	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	1	0	0	0
fsh-generated/resources/Bundle-ExampleRxMedicationDispenseSearchset.json	889	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleRxTaskSearchset.json	579	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-erp-fachdienst-server-rx.json	87123	17	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	79	132	0	0	0	5	0	0
fsh-generated/resources/Communication-ExampleRxCommunicationDispReq.json	236	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-ExampleRxMedicationDispense.json	350	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0
fsh-generated/resources/OperationOutcome-ExampleRxOperationOutcomeError.json	317	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0
fsh-generated/resources/Parameters-ExampleRxOperationRequestParameters.json	303	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0
fsh-generated/resources/Task-ExampleRxTaskInReadyState.json	138	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
input/resources/kbv-bundles/Bundle-input-example-1.json	14815	7	27	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	19	1851	0	0	0	0	0	0
