Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.erezept.json	58262	-	0	0	0	0	0	0	25	74	0	0	0	0	1	0	0	1	0	0	171	270	0	0	0	7	0	2
fsh-generated/resources/AuditEvent-9361863d-fec0-4ba9-8776-7905cf1b0cfa.json	1910	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	19	0	0	1	0	0	0
fsh-generated/resources/Bundle-Bundle-AcceptOperation.json	3608	2	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleAcceptResponseBundle.json	3613	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleRxCommunicationSearchsetResponse.json	4772	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleRxMedicationDispenseSearchsetResponse.json	1568	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleRxTaskSearchsetResponse.json	18891	5	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22	50	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleRxTaskSearchsetResponseReady.json	3468	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-dffbfd6a-5712-4798-bdc8-07201eb77ab8.json	3644	2	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-searchset-auditevent.json	2761	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-searchset-consent.json	1433	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-searchset-medicationdispense.json	1509	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-searchset-task.json	1498	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ti-flow-fachdienst-server-rx.json	135674	16	0	0	0	0	1	0	9	0	0	0	0	0	1	0	0	0	0	0	93	124	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-tiflow-erezept-operation-outcome-details-cs.json	3560	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	13	75	0	0	0	0	0	0
fsh-generated/resources/Communication-2be1c6ac-5d10-47f6-84ee-8318b2c22c76.json	1319	1	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/Communication-7977a4ab-97a9-4d95-afb3-6c4c1e2ac596.json	1705	1	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/Communication-a218a36e-f2fd-4603-ba67-c827acfef01b.json	1668	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/Consent-QueryConsentCHARGCONS.json	797	1	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Device-ReceiptBundleDevice.json	481	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Medication-ExampleUnitMedication.json	1073	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	308	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Kombipackung.json	3991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	16	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Rezeptur-FD.json	4437	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	487	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Rezeptur.json	4004	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	290	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Without-Strength-Code.json	1063	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Without-Strength-Numerator.json	1683	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Medication-SimpleMedication.json	392	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	283	0	0	0	0	0	0
fsh-generated/resources/Medication-SumatripanMedication.json	1472	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	301	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-2.json	848	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	286	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-comb-dayofweek.json	1980	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	299	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-comb-interval.json	2382	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	300	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-interval.json	1811	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	303	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-tageszeit.json	2308	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	301	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-uhrzeit.json	1882	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	290	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Dosage-weekday.json	1916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	294	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Kombipackung.json	866	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Rezeptur.json	858	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-Without-Medication.json	869	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	294	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense.json	850	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	287	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-tiflow-rx-abort-op.json	1282	1	0	0	0	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	13	6	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-tiflow-rx-accept-op.json	1041	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-tiflow-rx-activate-op.json	1009	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	7	3	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-tiflow-rx-close-op.json	1004	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-tiflow-rx-create-op.json	833	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	6	3	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-tiflow-rx-dispense-op.json	920	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-tiflow-rx-reject-op.json	1009	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	1	0	0
