Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.xborder.json	23481	-	0	0	0	0	0	0	17	73	0	0	0	0	0	0	0	1	0	0	117	149	0	0	0	6	0	4
fsh-generated/resources/Bundle-ExampleGetConsent.json	1773	2	6	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERPEU-CS-ConsentType.json	757	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	63	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERPEU-CS-RequestType.json	929	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	56	0	0	0	1	0	0
fsh-generated/resources/Consent-f97a0772-c99f-4159-90c6-2a41c7d96779.json	1173	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Without-Strength-Code.json	1050	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Without-Strength-Numerator.json	1670	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Medication-SimpleMedication.json	379	1	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Medication-SumatripanMedication.json	1459	1	0	0	0	0	0	0	1	263	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Example-MedicationDispense-EU.json	832	1	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-EUCloseOperation.json	3048	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	1	0	1
fsh-generated/resources/OperationDefinition-GET-Prescription-EU.json	2603	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-Grant-EU-Access-Permission.json	2071	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-Read-EU-Access-Permission.json	1517	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	11	0	1	0	0	0	0
fsh-generated/resources/OperationDefinition-Revoke-EU-Access-Permission.json	566	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	1	0	0
fsh-generated/resources/Organization-Example-EU-Organization.json	802	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0
fsh-generated/resources/Parameters-Example-EU-PermissionRequest.json	573	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
fsh-generated/resources/Parameters-Example-EU-PermissionResponse.json	756	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0
fsh-generated/resources/Parameters-Example-PATCH-Task-Single-Input-Request-False.json	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
fsh-generated/resources/Parameters-Example-PATCH-Task-Single-Input-Request-True.json	348	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0
fsh-generated/resources/Parameters-ExampleEUCloseInputParameters.json	7280	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	210	0	0	0	0	0	1
fsh-generated/resources/Parameters-ExampleEUGETPrescriptionDEMOGRAPHICS.json	1805	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Parameters-ExampleEUGETPrescriptionE-PRESCRIPTIONS-LIST.json	1821	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
fsh-generated/resources/Parameters-ExampleEUGETPrescriptionE-PRESCRIPTIONS-RETRIEVAL.json	2787	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-Example-EU-Practitioner.json	399	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	1	0	0	0
fsh-generated/resources/PractitionerRole-Example-EU-PractitionerRole.json	379	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-EX-MedicinalPackageDescription.json	1622	1	0	6	0	0	0	1	0	53	0	0	0	0	0	0	0	0	0	0	33	459	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-GEM-ERPEU-EX-MedicinalPackageIdentifier.json	1664	1	0	9	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	58	145	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-GEM-ERPEU-PR-AccessCode.json	1971	1	0	9	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	55	122	0	0	0	3	0	1
