Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.json	30598	-	0	0	0	0	0	0	20	53	0	0	0	0	1	0	0	1	0	0	151	177	0	0	0	5	0	2
fsh-generated/resources/CapabilityStatement-ExampleCapabilityStatementServerPU.json	1624	3	1	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	30	0	0	1	1	0	0
fsh-generated/resources/CapabilityStatement-ti-flow-fachdienst-server.json	22098	4	0	0	0	0	0	0	3	32	0	0	0	0	1	0	0	1	0	0	33	25	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-AvailabilityStatus.json	1271	2	0	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	0	7	79	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-DocumentType.json	989	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	6	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-FlowType.json	1651	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tiflow-operation-outcome-details-cs.json	14397	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	36	80	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-TIFLOW-CM-TelemetryDataStatusCodes.json	16970	4	0	0	0	0	0	0	2	25837	0	0	0	0	0	0	0	0	0	0	40	25341	0	1	0	2	0	1
fsh-generated/resources/SearchParameter-TaskAcceptDateSP.json	672	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	5	18	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-TaskExpiryDateSP.json	639	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-AcceptDate.json	1664	2	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	1099	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-Beneficiary.json	1721	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	170	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-ExpiryDate.json	1624	1	0	12	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	126	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-PrescriptionType.json	1728	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	157	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Binary.json	986	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	154	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Bundle.json	5716	3	0	163	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	254	510	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Composition.json	4922	2	0	57	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	169	313	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Device.json	1392	3	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	121	220	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Digest.json	965	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Signature.json	3438	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	154	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-audit-event-rest.json	9875	4	0	181	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	602	1137	0	0	0	30	0	3
fsh-generated/resources/StructureDefinition-ti-feature-definition.json	3217	1	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ti-flow-feature-wf160.json	2749	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ti-flow-feature-wf169.json	2964	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	90	0	0	0	0	1	0
fsh-generated/resources/StructureDefinition-tiflow-communication.json	3600	2	0	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	161	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-tiflow-op-accept-bundle.json	1897	2	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	182	295	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-tiflow-operation-outcome.json	1440	2	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	43	120	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tiflow-order-task.json	3563	2	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	147	339	0	0	0	8	0	1
fsh-generated/resources/ValueSet-GEM-ERP-VS-AvailabilityStatus.json	911	2	0	0	0	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	6	59	0	0	0	0	0	0
fsh-generated/resources/ValueSet-GEM-ERP-VS-DocumentType.json	837	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	41	0	0	0	1	0	0
fsh-generated/resources/ValueSet-GEM-ERP-VS-FlowType.json	882	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	5	40	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tiflow-audit-event-agent-type-vs.json	991	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	78	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tiflow-operation-outcome-details-vs.json	2557	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	14	53	0	0	0	1	0	0
fsh-generated/resources/ValueSet-tiflow-order-task-status-vs.json	1193	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	40	0	0	0	0	0	0
/input/includes/headline-style.html	818	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/includes/channels-set-request-example.json	152	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/use-case-diagram.html	348	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/channels-list-response-example.json	150	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/pushers_example.json	506	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/use-case-overview.table.html	635	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/empty-object-response-example.json	3	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/pushers-list-response-example.json	381	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/pushers-set-registration-example.json	507	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/pushers-set-deletion-example.json	87	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/use-case-details-table.html	1946	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	3931	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2361	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/use-cases.yaml	29109	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/requirements.json	495917	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/roles.yaml	88	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
