Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.json	31573	-	0	0	0	0	0	0	15	45	0	0	0	0	0	0	0	1	0	0	129	174	0	0	0	4	0	2
fsh-generated/resources/CapabilityStatement-ExampleCapabilityStatementServerPU.json	1626	2	0	0	3	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	9	27	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ti-flow-fachdienst-server.json	22098	4	0	0	0	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	31	32	0	0	1	1	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-AvailabilityStatus.json	1271	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	9	77	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-DocumentType.json	989	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	51	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-FlowType.json	1651	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	8	50	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tiflow-operation-outcome-details-cs.json	14994	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	1	0	0	39	83	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-TIFLOW-CM-TelemetryDataStatusCodes.json	17371	4	0	0	0	0	0	0	2	41040	0	0	0	0	0	0	0	0	0	0	41	39439	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-TaskAcceptDateSP.json	672	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-TaskExpiryDateSP.json	639	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-AcceptDate.json	1664	2	0	27	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	14	626	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-Beneficiary.json	1721	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	135	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-ExpiryDate.json	1624	1	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	105	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-PrescriptionType.json	1728	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23	140	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Binary.json	986	1	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	19	134	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Bundle.json	5716	3	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	235	499	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Composition.json	4922	3	0	64	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	157	310	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Device.json	1392	1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	125	220	0	0	0	5	1	0
