Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.json	30010	-	0	0	0	0	0	0	20	27	0	0	0	0	0	0	0	1	0	0	146	150	0	0	0	4	0	2
fsh-generated/resources/CapabilityStatement-ExampleCapabilityStatementServerPU.json	1628	2	0	0	2	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ti-flow-fachdienst-server.json	22106	4	0	0	0	0	0	0	3	29	0	0	0	0	0	0	0	1	0	0	32	19	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-AvailabilityStatus.json	1271	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	70	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-DocumentType.json	989	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	47	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-FlowType.json	1651	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tiflow-operation-outcome-details-cs.json	14679	2	0	0	0	0	0	0	3	9	0	0	1	0	0	0	0	0	0	0	38	85	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-TIFLOW-CM-TelemetryDataStatusCodes.json	17175	4	0	0	0	0	0	0	3	8379	0	0	0	0	0	0	0	1	0	0	47	7563	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-tiflow-core-validate-op.json	2948	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-TaskAcceptDateSP.json	672	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-TaskExpiryDateSP.json	639	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-AcceptDate.json	1664	1	0	35	0	0	0	0	1	606	0	0	0	0	0	0	0	0	0	0	28	548	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-Beneficiary.json	1721	1	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	156	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-ExpiryDate.json	1624	1	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	27	130	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-EX-PrescriptionType.json	1728	1	0	17	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	52	161	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Binary.json	986	1	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	35	198	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Bundle.json	5716	3	0	160	0	0	0	0	0	32	0	0	0	0	0	0	0	2	0	0	348	735	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Composition.json	4922	2	0	49	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	228	543	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Device.json	1392	1	0	31	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	145	366	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Digest.json	965	1	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	34	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Signature.json	3438	2	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	110	191	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-audit-event-rest.json	9875	4	0	184	0	0	1	0	0	140	0	0	1	0	0	0	0	3	0	0	754	1105	0	0	0	29	0	4
fsh-generated/resources/StructureDefinition-ti-feature-definition.json	3217	2	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	85	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ti-flow-core-validate-operation-input.json	4677	2	0	27	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	135	234	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ti-flow-core-validate-operation-output.json	2954	2	0	22	1	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	86	165	0	0	0	3	1	1
fsh-generated/resources/StructureDefinition-tiflow-communication.json	3600	2	0	22	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	130	172	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-tiflow-op-accept-bundle.json	1897	1	0	196	0	0	0	0	0	27	0	0	1	0	0	0	0	1	0	0	204	277	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-tiflow-operation-outcome.json	1440	1	0	13	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	60	94	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-tiflow-order-task.json	3563	1	0	23	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	183	233	0	0	0	6	0	1
fsh-generated/resources/Subscription-erp-notification-avs-01-request-PostSubscriptionPseudo.json	285	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0
fsh-generated/resources/Subscription-erp-notification-avs-02-response-PostSubscriptionPseudo.json	702	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0
fsh-generated/resources/ValueSet-GEM-ERP-VS-AvailabilityStatus.json	911	1	0	0	0	0	0	0	0	637	0	0	0	0	0	0	0	0	0	0	7	61	0	0	0	1	0	0
fsh-generated/resources/ValueSet-GEM-ERP-VS-DocumentType.json	837	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	37	0	0	0	0	0	0
fsh-generated/resources/ValueSet-GEM-ERP-VS-FlowType.json	882	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	36	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tiflow-audit-event-agent-type-vs.json	991	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	76	0	0	0	0	0	0
