Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.gematik.tiflow.json	33026	-	0	0	0	0	0	0	16	153	0	0	0	0	0	0	0	1	0	0	121	187	0	0	0	5	0	2
fsh-generated/resources/CapabilityStatement-ExampleCapabilityStatementServerPU.json	1650	3	0	0	2	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	7	32	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ti-flow-fachdienst-server.json	21968	6	0	0	0	0	0	0	2	36	0	0	0	0	0	0	0	0	0	0	37	24	0	1	0	1	0	0
fsh-generated/resources/CodeSystem-GEM-ERP-CS-AvailabilityStatus.json	1271	2	0	0	0	0	0	0	0	7	0	0	1	0	1	0	0	0	0	0	8	75	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-GEM-ERP-CS-DocumentType.json	989	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	8	47	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ti-environment-codes.json	1597	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	48	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ti-fhir-configuration-cs.json	948	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	5	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ti-flowtypes-codes.json	1644	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tiflow-operation-outcome-details-cs.json	14397	5	0	0	1	0	0	0	1	9	0	0	0	0	1	0	0	0	0	0	38	77	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-TIFLOW-CM-TelemetryDataStatusCodes.json	17355	7	0	0	0	0	0	0	2	35515	0	0	0	0	0	0	0	1	0	0	42	35768	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-TaskAcceptDateSP.json	672	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-TaskExpiryDateSP.json	639	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Binary.json	986	1	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	1154	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Device.json	1392	2	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	129	375	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Digest.json	965	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	99	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GEM-ERP-PR-Signature.json	3438	2	0	19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	69	274	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-audit-event-rest.json	3200	3	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	165	302	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ti-environment.json	2351	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ti-feature-definition.json	3217	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ti-feature.json	5207	3	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	32	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ti-fhir-configuration.json	2266	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	76	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ti-flow-capability-statement.json	2107	2	0	62	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	265	665	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-ti-flow-feature-wf160.json	2749	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	95	0	0	0	1	0	0
